Eion,Wion_C
4.999996975974968505e-02,4.184514929534423040e+18
1.499999092792490551e-01,2.068984868913020160e+17
2.499998487987483975e-01,6.563708171922272000e+16
3.499997883182477953e-01,3.061205722078373600e+16
4.499997278377471099e-01,1.653701421942197800e+16
5.499996673572464800e-01,1.184533321896798800e+16
6.499996068767459612e-01,9.011743703842310000e+15
7.499995463962453313e-01,7.478818228446453000e+15
8.499994859157447014e-01,6.410415624382675000e+15
9.499994254352439604e-01,5.156203871786062000e+15
1.049999364954743220e+00,5.342013020318893000e+15
1.149999304474242701e+00,3.809087544923035500e+15
1.249999243993742182e+00,4.645228713320777000e+15
1.349999183513241441e+00,3.483921534990582500e+15
1.449999123032740700e+00,3.391016960724166500e+15
1.549999062552239959e+00,2.740684940859257000e+15
1.649999002071739440e+00,2.415518930926802500e+15
1.749998941591238921e+00,2.322614356660387500e+15
1.849998881110738180e+00,2.322614356660387500e+15
1.949998820630237661e+00,1.811639198195102250e+15
2.049998760149736921e+00,1.672282336795479250e+15
2.149998699669236846e+00,1.486473188262647750e+15
2.249998639188735883e+00,1.579377762529063750e+15
2.349998578708235364e+00,1.393568613996232750e+15
2.449998518227734845e+00,1.440020901129440500e+15
2.549998457747233882e+00,1.440020901129440750e+15
2.649998397266733363e+00,1.532925475395855750e+15
2.749998336786232400e+00,9.290457426641551250e+14
2.849998276305732325e+00,1.114854891196986250e+15
2.949998215825231362e+00,1.254211752596609500e+15
3.049998155344730844e+00,1.068402604063778125e+15
3.149998094864230325e+00,1.114854891196986250e+15
3.249998034383729362e+00,1.254211752596609500e+15
3.349997973903228843e+00,1.068402604063778125e+15
3.449997913422728324e+00,7.896888812645318750e+14
3.549997852942227805e+00,4.180705841988698125e+14
3.649997792461726842e+00,5.574274455984931250e+14
3.749997731981226767e+00,7.432365941313238750e+14
3.849997671500725804e+00,7.432365941313241250e+14
3.949997611020224841e+00,7.432365941313238750e+14
4.049997550539724323e+00,5.109751584652852500e+14
4.149997490059224248e+00,5.109751584652852500e+14
4.249997429578723285e+00,8.825934555309473750e+14
4.349997369098222322e+00,9.754980297973626250e+14
4.449997308617722247e+00,7.896888812645318750e+14
4.549997248137221284e+00,6.503320198649086250e+14
4.649997187656720321e+00,6.038797327317007500e+14
4.749997127176220246e+00,6.967843069981163750e+14
4.849997066695720171e+00,6.038797327317007500e+14
4.949997006215218320e+00,7.432365941313241250e+14
5.049996945734718246e+00,3.716182970656620625e+14
5.149996885254217283e+00,2.322614356660387812e+14
5.249996824773716320e+00,4.645228713320775000e+14
5.349996764293216245e+00,2.787137227992465000e+14
5.449996703812715282e+00,6.503320198649086250e+14
5.549996643332215207e+00,2.322614356660387812e+14
5.649996582851714244e+00,7.432365941313241250e+14
5.749996522371213281e+00,4.645228713320775000e+14
5.849996461890713206e+00,4.645228713320775625e+14
5.949996401410212243e+00,7.896888812645318750e+14
6.049996340929711280e+00,8.825934555309476250e+14
6.149996280449211206e+00,6.038797327317007500e+14
6.249996219968711131e+00,3.716182970656619375e+14
6.349996159488209280e+00,5.109751584652852500e+14
6.449996099007709205e+00,5.574274455984931250e+14
6.549996038527209130e+00,4.180705841988698125e+14
6.649995978046707279e+00,4.180705841988698125e+14
6.749995917566207204e+00,2.322614356660387812e+14
6.849995857085707129e+00,3.251660099324543125e+14
6.949995796605206166e+00,4.180705841988698750e+14
7.049995736124705203e+00,4.180705841988698125e+14
7.149995675644205129e+00,2.787137227992465000e+14
7.249995615163704166e+00,3.716182970656619375e+14
7.349995554683203203e+00,2.322614356660387812e+14
7.449995494202703128e+00,5.109751584652852500e+14
7.549995433722202165e+00,5.109751584652852500e+14
7.649995373241702090e+00,3.716182970656619375e+14
7.749995312761201127e+00,5.109751584652852500e+14
7.849995252280700164e+00,2.787137227992465000e+14
7.949995191800200089e+00,4.180705841988698125e+14
8.049995131319699126e+00,2.787137227992465000e+14
8.149995070839198164e+00,2.787137227992465625e+14
8.249995010358697201e+00,3.251660099324541875e+14
8.349994949878198014e+00,3.716182970656619375e+14
8.449994889397697051e+00,2.787137227992465000e+14
8.549994828917194312e+00,1.858091485328309688e+14
8.649994768436695125e+00,3.716182970656619375e+14
8.749994707956194162e+00,3.716182970656619375e+14
8.849994647475694975e+00,3.251660099324541875e+14
8.949994586995194013e+00,3.251660099324541875e+14
9.049994526514693050e+00,2.322614356660387812e+14
9.149994466034192087e+00,4.180705841988698750e+14
9.249994405553691124e+00,3.716182970656619375e+14
9.349994345073190161e+00,3.716182970656620625e+14
9.449994284592690974e+00,3.716182970656619375e+14
9.549994224112190011e+00,2.322614356660387812e+14
9.649994163631689048e+00,3.716182970656619375e+14
9.749994103151188085e+00,1.393568613996232500e+14
9.849994042670687122e+00,4.645228713320774219e+13
9.949993982190186159e+00,2.787137227992465000e+14
