Eele,Wele
2.500001042982233912e-01,1.413390683044897280e+18
7.500003128946701736e-01,7.281853088959753600e+16
1.250000521491116956e+00,4.523983620399074400e+16
1.750000730087563738e+00,2.833586619204484800e+16
2.250000938684010521e+00,1.819766488644697200e+16
2.750001147280457747e+00,1.244223239268632800e+16
3.250001355876904086e+00,8.400887542345892000e+15
3.750001564473351312e+00,5.602140102885979000e+15
4.250001773069797650e+00,3.811406264028132000e+15
4.750001981666244433e+00,2.626874152721394500e+15
5.250002190262692103e+00,1.751249435147605250e+15
5.750002398859138886e+00,1.242597410880596500e+15
6.250002607455584780e+00,7.618167304090382500e+14
6.750002816052032451e+00,5.690399358238242500e+14
7.250003024648479233e+00,3.971666490851996875e+14
7.750003233244925127e+00,2.694229900227085000e+14
8.250003441841371910e+00,1.788411226874874688e+14
8.750003650437818692e+00,1.091627631988559844e+14
9.250003859034265474e+00,5.806529957385957031e+13
9.750004067630712257e+00,4.645223965908764844e+13
1.025000427622716082e+01,2.787134379545259375e+13
1.075000448482360760e+01,1.858089586363505859e+13
1.125000469342005438e+01,2.787134379545259375e+13
1.175000490201649939e+01,2.787134379545259375e+13
1.225000511061294617e+01,4.645223965908764648e+12
1.275000531920939295e+01,9.290447931817529297e+12
1.325000552780584151e+01,1.625828388068067773e+13
1.375000573640228829e+01,1.161305991477191211e+13
1.425000594499873507e+01,1.161305991477191211e+13
1.475000615359518008e+01,4.645223965908764648e+12
1.525000636219162686e+01,6.967835948863148438e+12
1.575000657078807365e+01,2.322611982954382324e+12
1.625000677938452043e+01,1.625828388068067773e+13
1.675000698798096721e+01,4.645223965908764648e+12
1.725000719657741399e+01,6.967835948863148438e+12
1.775000740517386077e+01,6.967835948863148438e+12
1.825000761377030756e+01,9.290447931817529297e+12
1.875000782236675434e+01,4.645223965908764648e+12
1.925000803096320112e+01,2.322611982954382324e+12
1.975000823955964790e+01,6.967835948863148438e+12
2.025000844815609469e+01,0.000000000000000000e+00
2.075000865675254502e+01,1.161305991477191211e+13
2.125000886534899180e+01,4.645223965908764648e+12
2.175000907394543859e+01,6.967835948863148438e+12
2.225000928254188537e+01,0.000000000000000000e+00
2.275000949113832860e+01,2.322611982954382324e+12
2.325000969973477538e+01,6.967835948863148438e+12
2.375000990833122216e+01,0.000000000000000000e+00
2.425001011692766895e+01,4.645223965908764648e+12
2.475001032552411573e+01,2.322611982954382324e+12
2.525001053412056251e+01,2.322611982954382324e+12
2.575001074271700929e+01,4.645223965908764648e+12
2.625001095131345963e+01,0.000000000000000000e+00
2.675001115990990641e+01,0.000000000000000000e+00
2.725001136850635319e+01,0.000000000000000000e+00
2.775001157710279998e+01,0.000000000000000000e+00
2.825001178569924676e+01,2.322611982954382324e+12
2.875001199429569354e+01,0.000000000000000000e+00
2.925001220289213677e+01,0.000000000000000000e+00
2.975001241148858355e+01,0.000000000000000000e+00
3.025001262008503033e+01,0.000000000000000000e+00
3.075001282868147712e+01,0.000000000000000000e+00
3.125001303727792390e+01,0.000000000000000000e+00
3.175001324587437068e+01,4.645223965908764648e+12
3.225001345447081746e+01,0.000000000000000000e+00
3.275001366306726425e+01,2.322611982954382324e+12
3.325001387166371103e+01,0.000000000000000000e+00
3.375001408026015781e+01,0.000000000000000000e+00
3.425001428885660459e+01,0.000000000000000000e+00
3.475001449745305138e+01,0.000000000000000000e+00
3.525001470604949816e+01,2.322611982954382324e+12
3.575001491464594494e+01,0.000000000000000000e+00
3.625001512324239172e+01,0.000000000000000000e+00
3.675001533183883851e+01,0.000000000000000000e+00
3.725001554043528529e+01,0.000000000000000000e+00
3.775001574903173207e+01,2.322611982954382324e+12
3.825001595762817885e+01,0.000000000000000000e+00
3.875001616622462564e+01,0.000000000000000000e+00
3.925001637482107242e+01,0.000000000000000000e+00
3.975001658341751920e+01,0.000000000000000000e+00
4.025001679201396598e+01,0.000000000000000000e+00
4.075001700061041277e+01,0.000000000000000000e+00
4.125001720920686665e+01,0.000000000000000000e+00
4.175001741780331344e+01,0.000000000000000000e+00
4.225001762639976022e+01,0.000000000000000000e+00
4.275001783499620700e+01,0.000000000000000000e+00
4.325001804359265378e+01,0.000000000000000000e+00
4.375001825218910056e+01,0.000000000000000000e+00
4.425001846078554735e+01,0.000000000000000000e+00
4.475001866938199413e+01,0.000000000000000000e+00
4.525001887797843381e+01,0.000000000000000000e+00
4.575001908657488059e+01,0.000000000000000000e+00
4.625001929517132737e+01,0.000000000000000000e+00
4.675001950376777415e+01,0.000000000000000000e+00
4.725001971236422094e+01,0.000000000000000000e+00
4.775001992096066772e+01,0.000000000000000000e+00
4.825002012955711450e+01,0.000000000000000000e+00
4.875002033815356128e+01,0.000000000000000000e+00
4.925002054675000807e+01,0.000000000000000000e+00
4.975002075534645485e+01,0.000000000000000000e+00
