Eion,Wion_H
4.999996975974968505e-02,4.493678126549198080e+17
1.499999092792490551e-01,1.081525375178887040e+17
2.499998487987483975e-01,7.862049597295344000e+16
3.499997883182477953e-01,5.409368836662016000e+16
4.499997278377471099e-01,3.834636302846293600e+16
5.499996673572464800e-01,3.086754480001644800e+16
6.499996068767459612e-01,2.790621149527452000e+16
7.499995463962453313e-01,2.479390825734960000e+16
8.499994859157447014e-01,2.150740894267515600e+16
9.499994254352439604e-01,1.832542727405040400e+16
1.049999364954743220e+00,1.551506390249137200e+16
1.149999304474242701e+00,1.512021946185909600e+16
1.249999243993742182e+00,1.401697764244540800e+16
1.349999183513241441e+00,1.301825346908145200e+16
1.449999123032740700e+00,1.191501164966776400e+16
1.549999062552239959e+00,1.161307178330191600e+16
1.649999002071739440e+00,1.118338812731974400e+16
1.749998941591238921e+00,1.042853846140512400e+16
1.849998881110738180e+00,1.092790054808708800e+16
1.949998820630237661e+00,9.871111015806630000e+15
2.049998760149736921e+00,9.905950231156522000e+15
2.149998699669236846e+00,8.349798612194092000e+15
2.249998639188735883e+00,6.607837844698810000e+15
2.349998578708235364e+00,6.027184255533711000e+15
2.449998518227734845e+00,5.713631317384559000e+15
2.549998457747233882e+00,5.225882302485876000e+15
2.649998397266733363e+00,5.191043087135969000e+15
2.749998336786232400e+00,4.900716292553421000e+15
2.849998276305732325e+00,4.320062703388324000e+15
2.949998215825231362e+00,4.250384272688511500e+15
3.049998155344730844e+00,4.436193421221342500e+15
3.149998094864230325e+00,3.658117611740112000e+15
3.249998034383729362e+00,3.762635257789829500e+15
3.349997973903228843e+00,3.600052252823603000e+15
3.449997913422728324e+00,3.158755525058128500e+15
3.549997852942227805e+00,3.054237879008410000e+15
3.649997792461726842e+00,3.031011735441807500e+15
3.749997731981226767e+00,2.856815658692278000e+15
3.849997671500725804e+00,2.589715007676333000e+15
3.949997611020224841e+00,2.647780366592842500e+15
4.049997550539724323e+00,2.392292787360200000e+15
4.149997490059224248e+00,2.485197361626615000e+15
4.249997429578723285e+00,2.334227428443689500e+15
4.349997369098222322e+00,2.171644423477463000e+15
4.449997308617722247e+00,1.916156844244820000e+15
4.549997248137221284e+00,1.916156844244820500e+15
4.649997187656720321e+00,1.892930700678216500e+15
4.749997127176220246e+00,1.939382987811424250e+15
4.849997066695720171e+00,2.032287562077839750e+15
4.949997006215218320e+00,1.486473188262647750e+15
5.049996945734718246e+00,1.602603906095667750e+15
5.149996885254217283e+00,1.509699331829251750e+15
5.249996824773716320e+00,1.532925475395855750e+15
5.349996764293216245e+00,1.126467962980287750e+15
5.449996703812715282e+00,1.045176460497174250e+15
5.549996643332215207e+00,9.638849580140606250e+14
5.649996582851714244e+00,8.361411683977393750e+14
5.749996522371213281e+00,8.477542401810412500e+14
5.849996461890713206e+00,8.477542401810412500e+14
5.949996401410212243e+00,6.619450916482103750e+14
6.049996340929711280e+00,7.432365941313238750e+14
6.149996280449211206e+00,6.851712352148142500e+14
6.249996219968711131e+00,6.154928045150025000e+14
6.349996159488209280e+00,6.735581634315123750e+14
6.449996099007709205e+00,4.529097995487754375e+14
6.549996038527209130e+00,6.154928045150025000e+14
6.649995978046707279e+00,4.412967277654735625e+14
6.749995917566207204e+00,5.109751584652852500e+14
6.849995857085707129e+00,3.251660099324541875e+14
6.949995796605206166e+00,4.529097995487754375e+14
7.049995736124705203e+00,4.064575124155677500e+14
7.149995675644205129e+00,3.948444406322658750e+14
7.249995615163704166e+00,3.019398663658503750e+14
7.349995554683203203e+00,3.367790817157561875e+14
7.449995494202703128e+00,3.483921534990580625e+14
7.549995433722202165e+00,2.554875792326426250e+14
7.649995373241702090e+00,3.367790817157561875e+14
7.749995312761201127e+00,2.322614356660387500e+14
7.849995252280700164e+00,2.206483638827368438e+14
7.949995191800200089e+00,3.019398663658503125e+14
8.049995131319699126e+00,1.393568613996232188e+14
8.149995070839198164e+00,2.322614356660387500e+14
8.249995010358697201e+00,1.974222203161329375e+14
8.349994949878198014e+00,2.090352920994348750e+14
8.449994889397697051e+00,1.858091485328309688e+14
8.549994828917194312e+00,1.974222203161329375e+14
8.649994768436695125e+00,1.393568613996232188e+14
8.749994707956194162e+00,1.974222203161329688e+14
8.849994647475694975e+00,1.741960767495290312e+14
8.949994586995194013e+00,9.290457426641548438e+13
9.049994526514693050e+00,1.509699331829251562e+14
9.149994466034192087e+00,1.277437896163212969e+14
9.249994405553691124e+00,1.974222203161329375e+14
9.349994345073190161e+00,1.509699331829251562e+14
9.449994284592690974e+00,1.277437896163212969e+14
9.549994224112190011e+00,1.509699331829251562e+14
9.649994163631689048e+00,1.045176460497174375e+14
9.749994103151188085e+00,6.967843069981160938e+13
9.849994042670687122e+00,1.161307178330193594e+14
9.949993982190186159e+00,1.045176460497174375e+14
