Eion,Wion_H
4.999996975974968505e-02,5.120667872129836800e+17
1.499999092792490551e-01,9.083744748898611200e+16
2.499998487987483975e-01,6.024861641176991200e+16
3.499997883182477953e-01,4.302643095713369600e+16
4.499997278377471099e-01,3.517599443162150800e+16
5.499996673572464800e-01,3.164562060949776400e+16
6.499996068767459612e-01,2.707007032687681200e+16
7.499995463962453313e-01,2.405067166321829200e+16
8.499994859157447014e-01,1.960286517021359600e+16
9.499994254352439604e-01,1.671121029617146400e+16
1.049999364954743220e+00,1.587506912777372400e+16
1.149999304474242701e+00,1.449311358556078800e+16
1.249999243993742182e+00,1.395891228352889600e+16
1.349999183513241441e+00,1.268147438736569400e+16
1.449999123032740700e+00,1.184533321896795200e+16
1.549999062552239959e+00,1.181049400361803800e+16
1.649999002071739440e+00,1.136919727585257200e+16
1.749998941591238921e+00,1.102080512235351000e+16
1.849998881110738180e+00,1.074209139955425000e+16
1.949998820630237661e+00,9.360135857341344000e+15
2.049998760149736921e+00,8.814321483526162000e+15
2.149998699669236846e+00,7.223330649213811000e+15
2.249998639188735883e+00,6.329124121899563000e+15
2.349998578708235364e+00,6.015571183750409000e+15
2.449998518227734845e+00,5.551048312418331000e+15
2.549998457747233882e+00,5.318786876752292000e+15
2.649998397266733363e+00,5.156203871786064000e+15
2.749998336786232400e+00,4.668454856887381000e+15
2.849998276305732325e+00,4.645228713320779000e+15
2.949998215825231362e+00,4.378128062304833500e+15
3.049998155344730844e+00,3.925218262756057000e+15
3.149998094864230325e+00,4.029735908805774500e+15
3.249998034383729362e+00,3.913605190972755000e+15
3.349997973903228843e+00,3.379403888940865500e+15
3.449997913422728324e+00,3.251660099324544000e+15
3.549997852942227805e+00,3.367790817157563000e+15
3.649997792461726842e+00,3.240047027541241500e+15
3.749997731981226767e+00,2.926494089392089500e+15
3.849997671500725804e+00,2.624554223026239000e+15
3.949997611020224841e+00,2.485197361626615000e+15
4.049997550539724323e+00,2.798750299775768000e+15
4.149997490059224248e+00,2.473584289843313500e+15
4.249997429578723285e+00,2.299388213093784000e+15
4.349997369098222322e+00,2.194870567044066500e+15
4.449997308617722247e+00,2.090352920994349500e+15
4.549997248137221284e+00,1.590990834312365750e+15
4.649997187656720321e+00,1.625830049662272000e+15
4.749997127176220246e+00,1.521312403612554750e+15
4.849997066695720171e+00,1.172920250113495750e+15
4.949997006215218320e+00,1.265824824379911500e+15
5.049996945734718246e+00,1.126467962980288000e+15
5.149996885254217283e+00,1.033563388713872500e+15
5.249996824773716320e+00,1.091628747630382125e+15
5.349996764293216245e+00,9.058195990975510000e+14
5.449996703812715282e+00,9.522718862307587500e+14
5.549996643332215207e+00,8.013019530478335000e+14
5.649996582851714244e+00,8.245280966144375000e+14
5.749996522371213281e+00,6.503320198649081250e+14
5.849996461890713206e+00,6.387189480816065000e+14
5.949996401410212243e+00,6.619450916482103750e+14
6.049996340929711280e+00,6.387189480816065000e+14
6.149996280449211206e+00,5.806535891650966250e+14
6.249996219968711131e+00,5.458143738151910625e+14
6.349996159488209280e+00,4.296836559821715000e+14
6.449996099007709205e+00,4.645228713320774375e+14
6.549996038527209130e+00,3.832313688489638750e+14
6.649995978046707279e+00,3.948444406322658750e+14
6.749995917566207204e+00,3.483921534990580625e+14
6.849995857085707129e+00,4.296836559821715000e+14
6.949995796605206166e+00,3.483921534990580625e+14
7.049995736124705203e+00,3.948444406322658750e+14
7.149995675644205129e+00,3.716182970656619375e+14
7.249995615163704166e+00,2.787137227992465000e+14
7.349995554683203203e+00,2.322614356660387500e+14
7.449995494202703128e+00,1.974222203161329688e+14
7.549995433722202165e+00,2.322614356660387500e+14
7.649995373241702090e+00,2.671006510159445312e+14
7.749995312761201127e+00,2.787137227992465000e+14
7.849995252280700164e+00,1.974222203161329375e+14
7.949995191800200089e+00,2.206483638827368438e+14
8.049995131319699126e+00,2.671006510159445312e+14
8.149995070839198164e+00,1.393568613996232188e+14
8.249995010358697201e+00,2.671006510159445312e+14
8.349994949878198014e+00,1.277437896163212969e+14
8.449994889397697051e+00,1.509699331829251562e+14
8.549994828917194312e+00,1.858091485328309688e+14
8.649994768436695125e+00,1.625830049662270938e+14
8.749994707956194162e+00,1.858091485328309688e+14
8.849994647475694975e+00,1.974222203161329375e+14
8.949994586995194013e+00,1.277437896163212969e+14
9.049994526514693050e+00,1.277437896163212969e+14
9.149994466034192087e+00,1.393568613996232188e+14
9.249994405553691124e+00,1.509699331829251562e+14
9.349994345073190161e+00,1.277437896163213125e+14
9.449994284592690974e+00,1.045176460497174375e+14
9.549994224112190011e+00,1.045176460497174375e+14
9.649994163631689048e+00,1.509699331829251562e+14
9.749994103151188085e+00,5.806535891650967969e+13
9.849994042670687122e+00,1.161307178330193594e+14
9.949993982190186159e+00,9.290457426641548438e+13
