# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Ukin_new
# 14 Uelm_bnd
# 15 Uelm_out_mvw
# 16 Uelm_inj_mvw
# 17 Dens_ion
# 18 Ntot_ion
# 19 Zavg_ion
# 20 Ukin_ion
# 21 Urad_ion
# 22 Dens_ele
# 23 Ntot_ele
# 24 Zavg_ele
# 25 Ukin_ele
# 26 Urad_ele
# 27 Uelm_Ex
# 28 Uelm_Ey
# 29 Uelm_Ez
# 30 Uelm_Bx_m
# 31 Uelm_By_m
# 32 Uelm_Bz_m
# 33 ExMin
# 34 ExMinCell
# 35 ExMax
# 36 ExMaxCell
# 37 EyMin
# 38 EyMinCell
# 39 EyMax
# 40 EyMaxCell
# 41 EzMin
# 42 EzMinCell
# 43 EzMax
# 44 EzMaxCell
# 45 Bx_mMin
# 46 Bx_mMinCell
# 47 Bx_mMax
# 48 Bx_mMaxCell
# 49 By_mMin
# 50 By_mMinCell
# 51 By_mMax
# 52 By_mMaxCell
# 53 Bz_mMin
# 54 Bz_mMinCell
# 55 Bz_mMax
# 56 Bz_mMaxCell
# 57 JxMin
# 58 JxMinCell
# 59 JxMax
# 60 JxMaxCell
# 61 JyMin
# 62 JyMinCell
# 63 JyMax
# 64 JyMaxCell
# 65 JzMin
# 66 JzMinCell
# 67 JzMax
# 68 JzMaxCell
# 69 RhoMin
# 70 RhoMinCell
# 71 RhoMax
# 72 RhoMaxCell
# 73 PoyXmin
# 74 PoyXminInst
# 75 PoyYmin
# 76 PoyYminInst
# 77 PoyXmax
# 78 PoyXmaxInst
# 79 PoyYmax
# 80 PoyYmaxInst
#
#               time           Ubal_norm                Ubal                Utot                Uexp                Ukin                Urad           UmBWpairs                Uelm            Ukin_bnd        Ukin_out_mvw        Ukin_inj_mvw            Ukin_new            Uelm_bnd        Uelm_out_mvw        Uelm_inj_mvw            Dens_ion            Ntot_ion            Zavg_ion            Ukin_ion            Urad_ion            Dens_ele            Ntot_ele            Zavg_ele            Ukin_ele            Urad_ele             Uelm_Ex             Uelm_Ey             Uelm_Ez           Uelm_Bx_m           Uelm_By_m           Uelm_Bz_m               ExMin           ExMinCell               ExMax           ExMaxCell               EyMin           EyMinCell               EyMax           EyMaxCell               EzMin           EzMinCell               EzMax           EzMaxCell             Bx_mMin         Bx_mMinCell             Bx_mMax         Bx_mMaxCell             By_mMin         By_mMinCell             By_mMax         By_mMaxCell             Bz_mMin         Bz_mMinCell             Bz_mMax         Bz_mMaxCell               JxMin           JxMinCell               JxMax           JxMaxCell               JyMin           JyMinCell               JyMax           JyMaxCell               JzMin           JzMinCell               JzMax           JzMaxCell              RhoMin          RhoMinCell              RhoMax          RhoMaxCell             PoyXmin         PoyXminInst             PoyYmin         PoyYminInst             PoyXmax         PoyXmaxInst             PoyYmax         PoyYmaxInst
    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.4486966140e-01    1.4486966140e-01    1.4486966140e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.4674011003e+05    4.0000000000e+06    1.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.4674011003e+05    6.0000000000e+06   -1.0000000000e+00    1.4486966140e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -5.3302543789e-04              219338    4.7081080373e-04              161263   -4.6614249666e-04              186114    4.9801106130e-04              197198   -4.3983471892e-04              272027    4.1389128841e-04              174026   -5.5983937535e-01              307352    5.8131204147e-01              262186    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    1.0885063198e+00    7.8022627624e-03    1.1391994983e-03    1.4600886090e-01    1.4486966140e-01    1.4317981889e-01    0.0000000000e+00    0.0000000000e+00    2.8290420007e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.4674011003e+05    4.0000000000e+06    1.0000000000e+00    4.6300846948e-08    0.0000000000e+00    2.4674011003e+05    6.0000000000e+06   -1.0000000000e+00    1.4317977259e-01    0.0000000000e+00    8.0246855639e-04    8.0947912462e-04    2.8732329052e-04    2.2253988842e-04    2.2087839802e-04    4.8635274274e-04   -3.8855679670e-04              417143    3.9633664329e-04              462097   -3.6495601108e-04              318314    3.5006215924e-04              247715   -2.2739099977e-04              472974    2.2491577200e-04              367042   -1.8934587841e-04              216324    1.9911851834e-04              387026   -1.8862369084e-04              408839    2.0028020439e-04              179446   -2.9087782527e-04              354408    2.9027494973e-04              455561   -4.1058620887e-04              378663    4.1005760794e-04              159055   -3.9466953157e-04              151293    3.7720830417e-04              451456   -3.4967871640e-04              245222    3.5064166544e-04              174026   -5.5993390635e-01              307352    5.8105955999e-01              262186    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    2.1770126397e+00    6.3641375611e-01    5.9977719430e-01    9.4243279398e-01    3.4265559968e-01    1.4156052161e-01    0.0000000000e+00    0.0000000000e+00    8.0087227237e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.9778593829e-01    0.0000000000e+00    0.0000000000e+00    2.4674011003e+05    4.0000000000e+06    1.0000000000e+00    1.0796862657e-06    0.0000000000e+00    2.4674011003e+05    6.0000000000e+06   -1.0000000000e+00    1.4155944193e-01    0.0000000000e+00    1.6724468924e-03    9.5719773822e-02    1.7754477754e-04    2.0516861304e-04    2.0336394395e-04    7.0289397432e-01   -3.5301083739e-03                 241    3.5301083739e-03                 159   -8.3041115656e-03                 261    6.9180906185e-02                 178   -1.7990175532e-04              334287    1.8322361379e-04              316575   -1.9772554288e-04              356613    1.9485367175e-04              421580   -1.8979800128e-04              355752    2.0003969224e-04              464535   -2.2390081378e-02                 259    1.8768457762e-01                 184   -2.9465400426e-04              175088    3.2097759027e-04              460358   -2.6043138341e-04              415243    2.7268779121e-04              199018   -3.0872865714e-04              398624    3.1546289730e-04              133910   -5.6001517069e-01              307352    5.8093616900e-01              262186    1.9778593829e-01    1.9778593829e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    3.2655189595e+00    3.3637210640e-01    2.3833922056e+00    7.0855821879e+00    4.7021899823e+00    1.4196732629e-01    0.0000000000e+00    0.0000000000e+00    6.9436148616e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    4.5573203209e+00    0.0000000000e+00    0.0000000000e+00    2.4674011003e+05    4.0000000000e+06    1.0000000000e+00    2.8191207760e-06    0.0000000000e+00    2.4674011003e+05    6.0000000000e+06   -1.0000000000e+00    1.4196450717e-01    0.0000000000e+00    9.2368178995e-03    3.0555556483e+00    2.1991585363e-04    1.2430379144e-04    1.2368755826e-04    3.8783544882e+00   -2.3657468753e-02                 235    2.3657468753e-02                 165   -5.1640628310e-02                 147    4.2501633643e-01                 200   -2.1817796119e-04              101251    1.8811903037e-04              163353   -1.5185410224e-04              473317    1.5040639094e-04              248318   -1.5156884780e-04              163505    1.4579895141e-04              450238   -8.3340938395e-02                 153    4.7144779481e-01                 201   -3.5377450695e-04              318815    3.6436378764e-04              154884   -3.3130887939e-04              172448    3.6373569112e-04              177506   -3.5964603693e-04              377750    3.8500444889e-04              119870   -5.6006016760e-01              307352    5.8099243808e-01              262186    4.5573203209e+00    3.0018315096e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    4.3540252794e+00    1.7923727316e-01    1.8851774324e+00    1.0517775679e+01    8.6325982462e+00    1.4235079495e-01    0.0000000000e+00    0.0000000000e+00    1.0375424884e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.4877285849e+00    0.0000000000e+00    0.0000000000e+00    2.4674011003e+05    4.0000000000e+06    1.0000000000e+00    3.9939402306e-06    0.0000000000e+00    2.4674011003e+05    6.0000000000e+06   -1.0000000000e+00    1.4234680101e-01    0.0000000000e+00    4.2108840402e-02    4.9056325253e+00    2.3096415490e-04    1.1766360804e-04    1.1643429200e-04    5.4272184560e+00   -4.3738866073e-02                 226    4.3738866073e-02                 174   -2.1326880194e-01                 163    4.7620861074e-01                 601   -2.1915550195e-04              435306    2.0924181342e-04              186855   -1.4003657277e-04              248532    1.5106072308e-04              298332   -1.3724454771e-04              159449    1.3268700836e-04               84231   -3.1030229018e-01                 170    4.3356736997e-01                 601   -4.0593081604e-04              155931    4.6260200775e-04              154884   -3.6714559251e-04              314140    3.9383462039e-04              177506   -3.4530912947e-04              470928    3.6197966938e-04              289474   -5.6005601418e-01              307352    5.8116316428e-01              262186    8.4877285849e+00    1.1680062056e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    5.4425315992e+00    3.5644114793e-01    1.2237643680e+01    3.4332859017e+01    2.2095215337e+01    1.4236404155e-01    0.0000000000e+00    0.0000000000e+00    3.4190494975e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.1950345676e+01    0.0000000000e+00    0.0000000000e+00    2.4674011003e+05    4.0000000000e+06    1.0000000000e+00    4.2607843197e-06    0.0000000000e+00    2.4674011003e+05    6.0000000000e+06   -1.0000000000e+00    1.4235978076e-01    0.0000000000e+00    7.2777112101e-02    1.3470674210e+01    1.9989066464e-04    1.5189651821e-04    1.5185841575e-04    2.0646540007e+01   -4.5623199993e-02                 624    4.5623199993e-02                 576   -6.5438691030e-01                 214    4.7306034758e-01                1001   -1.8872781768e-04              438293    1.8915417722e-04              255942   -1.5509569350e-04              382366    1.6026635672e-04              178168   -1.5818822771e-04              150040    1.7700904077e-04              229708   -9.5300254895e-01                 201    4.1695909257e-01                1400   -3.6614724936e-04              138288    4.1142448262e-04              154884   -3.6425596125e-04              427385    3.4901859830e-04               84020   -3.9243311949e-04              245222    3.5751820943e-04              313033   -5.5999404335e-01              307352    5.8133034018e-01              262186    2.1950345676e+01    1.0582609483e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    6.5310379191e+00    1.6258640314e-01    1.2290463646e+01    7.5593428533e+01    6.3302964887e+01    1.4258481634e-01    0.0000000000e+00    0.0000000000e+00    7.5450843717e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.3158095226e+01    0.0000000000e+00    0.0000000000e+00    2.4674011003e+05    4.0000000000e+06    1.0000000000e+00    4.1535692516e-06    0.0000000000e+00    2.4674011003e+05    6.0000000000e+06   -1.0000000000e+00    1.4258066277e-01    0.0000000000e+00    1.0498335828e-01    3.6919488586e+01    2.2432283559e-04    1.5956469456e-04    1.5766918700e-04    3.8425830216e+01   -4.6784785317e-02                 163    4.6784785317e-02                 237   -1.2614877458e+00                 201    4.0319692389e-01                1401   -2.0493071098e-04              461078    2.2958152933e-04              324560   -1.7755478033e-04              445805    1.6021317534e-04              281440   -1.7576817176e-04              285236    1.7836676336e-04              179446   -1.1207028402e+00                 601    4.3073790607e-01                1801   -3.6436165212e-04               92934    3.3666073379e-04              452796   -4.2678216010e-04              358138    3.6887840546e-04              362285   -3.5897504351e-04              347947    3.5139095791e-04              174026   -5.5988058858e-01              307352    5.8141431375e-01              262186    6.3158095226e+01    2.1354342157e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    7.6195442389e+00    1.0684821232e-01    9.4110288716e+00    8.8078486924e+01    7.8667458053e+01    1.4265392612e-01    0.0000000000e+00    0.0000000000e+00    8.7935832998e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    7.8522588391e+01    0.0000000000e+00    0.0000000000e+00    2.4674011003e+05    4.0000000000e+06    1.0000000000e+00    3.8874490648e-06    0.0000000000e+00    2.4674011003e+05    6.0000000000e+06   -1.0000000000e+00    1.4265003867e-01    0.0000000000e+00    2.0509185626e-01    4.2870162022e+01    2.2336302048e-04    1.5982970331e-04    1.5802624596e-04    4.4860037901e+01   -7.5216725117e-02                 176    7.5216725117e-02                 224   -1.1945170876e+00                 601    4.3399492206e-01                2201   -1.8623560788e-04              205837    1.8901687138e-04              346733   -1.6840822699e-04              356613    1.6114100749e-04              387026   -1.5736367453e-04              235061    1.5801721399e-04              269490   -1.1989192301e+00                1000    6.2060326971e-01                 173   -3.6616555560e-04              341134    3.4990755611e-04               83783   -3.8119789136e-04              358138    3.8053534676e-04              344987   -3.4539709017e-04              276977    3.4143482991e-04              119870   -5.5974910297e-01              307352    5.8140244001e-01              262186    7.8522588391e+01    3.4957220681e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    8.7080505588e+00    2.3874454037e-01    4.1086527114e+01    1.7209410130e+02    1.3100757418e+02    1.4255248606e-01    0.0000000000e+00    0.0000000000e+00    1.7195154881e+02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.3086270452e+02    0.0000000000e+00    0.0000000000e+00    2.4674011003e+05    4.0000000000e+06    1.0000000000e+00    3.6577295368e-06    0.0000000000e+00    2.4674011003e+05    6.0000000000e+06   -1.0000000000e+00    1.4254882833e-01    0.0000000000e+00    2.6779096143e-01    7.6613345217e+01    2.0547184210e-04    1.4171030462e-04    1.4240854171e-04    9.5069923044e+01   -7.6702303594e-02                 578    7.6702303594e-02                 622   -1.2182667255e+00                1401    1.3651766210e+00                 200   -1.8104741094e-04              377991    1.8702613525e-04              281043   -1.5333458447e-04              396146    1.5321901398e-04              421180   -1.5952008984e-04              425497    1.5765064909e-04              112060   -1.1699213481e+00                1401    1.7848886529e+00                 201   -3.9316556211e-04              290239    3.3376999562e-04              345047   -4.1220558938e-04              206824    4.1399405999e-04              400546   -3.4670084333e-04              276977    3.6090349341e-04              289474   -5.5965244729e-01              307352    5.8134793929e-01              262186    1.3086270452e+02    3.9329611656e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    9.7965568786e+00    1.0538693311e-01    2.8430681091e+01    2.6977425237e+02    2.4134357128e+02    1.4255786143e-01    0.0000000000e+00    0.0000000000e+00    2.6963169451e+02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.4119870162e+02    0.0000000000e+00    0.0000000000e+00    2.4674011003e+05    4.0000000000e+06    1.0000000000e+00    3.5858673253e-06    0.0000000000e+00    2.4674011003e+05    6.0000000000e+06   -1.0000000000e+00    1.4255427557e-01    0.0000000000e+00    3.5923403993e-01    1.3611020788e+02    2.2664308953e-04    1.4202254596e-04    1.4137033289e-04    1.3316174256e+02   -8.0206644766e-02                 234    8.0206644766e-02                 166   -1.2317890284e+00                1801    2.0207748838e+00                 200   -2.0023843780e-04              347133    2.0543096953e-04              205836   -1.7130077652e-04              216793    1.6260992317e-04              248318   -1.6309733130e-04              177123    1.4620846479e-04              145482   -1.1476188177e+00                2201    1.9627539301e+00                 601   -3.8813565065e-04              378663    3.5739521554e-04              284497   -3.8647516684e-04              164146    3.4876475483e-04              337423   -3.7029237888e-04              161292    3.6867640238e-04              270833   -5.5964644725e-01              307352    5.8130162374e-01              262186    2.4119870162e+02    5.1004951802e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
