Eele,Wele
2.500001042982233912e-01,1.261840559991301632e+18
7.500003128946701736e-01,5.391541128694669600e+16
1.250000521491116956e+00,2.383650224252049200e+16
1.750000730087563738e+00,1.312446094358524600e+16
2.250000938684010521e+00,8.379364665628192000e+15
2.750001147280457747e+00,5.909499084626119000e+15
3.250001355876904086e+00,4.226069920520668000e+15
3.750001564473351312e+00,3.475556568937369500e+15
4.250001773069797650e+00,2.875858155345020000e+15
4.750001981666244433e+00,2.581815478502295500e+15
5.250002190262692103e+00,2.317657075819996000e+15
5.750002398859138886e+00,2.194713481605607750e+15
6.250002607455584780e+00,1.998839871175874000e+15
6.750002816052032451e+00,1.900361123165346500e+15
7.250003024648479233e+00,1.805753395123790000e+15
7.750003233244925127e+00,1.804050146337436000e+15
8.250003441841371910e+00,1.668254765826069250e+15
8.750003650437818692e+00,1.481207080925585500e+15
9.250003859034265474e+00,1.120892542214141500e+15
9.750004067630712257e+00,9.501031411833185000e+14
1.025000427622716082e+01,1.002129649566231875e+15
1.075000448482360760e+01,8.203465518235412500e+14
1.125000469342005438e+01,6.673638426499678750e+14
1.175000490201649939e+01,5.328071885286760625e+14
1.225000511061294617e+01,4.389736644809145000e+14
1.275000531920939295e+01,3.631016730891512500e+14
1.325000552780584151e+01,3.073589855360191875e+14
1.375000573640228829e+01,2.482098004101956250e+14
1.425000594499873507e+01,2.119770535006598125e+14
1.475000615359518008e+01,1.947897248384441250e+14
1.525000636219162686e+01,1.831766649315415625e+14
1.575000657078807365e+01,1.628925202941518438e+14
1.625000677938452043e+01,1.463245548269709375e+14
1.675000698798096721e+01,1.438471020468317188e+14
1.725000719657741399e+01,1.449309876381425938e+14
1.775000740517386077e+01,1.402857636753816250e+14
1.825000761377030756e+01,1.402857636753816250e+14
1.875000782236675434e+01,1.328534053349640156e+14
1.925000803096320112e+01,1.407502860716577500e+14
1.975000823955964790e+01,1.426083756567620938e+14
2.025000844815609469e+01,1.514343011860080312e+14
2.075000865675254502e+01,1.410599676691751250e+14
2.125000886534899180e+01,1.548407987586994688e+14
2.175000907394543859e+01,1.847250729191285938e+14
2.225000928254188537e+01,2.142996654820403750e+14
2.275000949113832860e+01,2.071769887391401562e+14
2.325000969973477538e+01,2.076415111354162500e+14
2.375000990833122216e+01,2.022220831788617500e+14
2.425001011692766895e+01,1.969574960210658750e+14
2.475001032552411573e+01,2.020672423801030625e+14
2.525001053412056251e+01,1.765185105849175000e+14
2.575001074271700929e+01,1.717184458233977812e+14
2.625001095131345963e+01,1.619634755015996562e+14
2.675001115990990641e+01,1.652151322755323750e+14
2.725001136850635319e+01,1.336276093287575156e+14
2.775001157710279998e+01,1.309953157498595781e+14
2.825001178569924676e+01,1.509697787897319688e+14
2.875001199429569354e+01,1.347114949200683906e+14
2.925001220289213677e+01,1.430728980530382188e+14
2.975001241148858355e+01,1.455503508331774375e+14
3.025001262008503033e+01,1.522085051798015000e+14
3.075001282868147712e+01,1.514343011860080312e+14
3.125001303727792390e+01,1.520536643810428750e+14
3.175001324587437068e+01,1.436922612480730312e+14
3.225001345447081746e+01,1.396664004803467969e+14
3.275001366306726425e+01,1.478729628145579375e+14
3.325001387166371103e+01,1.371889477002076094e+14
3.375001408026015781e+01,1.357953805113793125e+14
3.425001428885660459e+01,1.291372261647551719e+14
3.475001449745305138e+01,1.308404749511008906e+14
3.525001470604949816e+01,1.294469077622725938e+14
3.575001491464594494e+01,1.320792013411705000e+14
3.625001512324239172e+01,1.289823853659965000e+14
3.675001533183883851e+01,1.325437237374465938e+14
3.725001554043528529e+01,1.255758877933050938e+14
3.775001574903173207e+01,1.326985645362052812e+14
3.825001595762817885e+01,1.486471668083514375e+14
3.875001616622462564e+01,1.690861522444998750e+14
3.925001637482107242e+01,1.765185105849175000e+14
3.975001658341751920e+01,1.828669833340242188e+14
4.025001679201396598e+01,1.735765354085021875e+14
4.075001700061041277e+01,1.743507394022956875e+14
4.125001720920686665e+01,1.484923260095927500e+14
4.175001741780331344e+01,1.522085051798015000e+14
4.225001762639976022e+01,1.421438532604860312e+14
4.275001783499620700e+01,1.322340421399292031e+14
4.325001804359265378e+01,1.181435294528874688e+14
4.375001825218910056e+01,1.221693902206136719e+14
4.425001846078554735e+01,1.071498327410197500e+14
4.475001866938199413e+01,1.018852455832239375e+14
4.525001887797843381e+01,8.330434973217998438e+13
4.575001908657488059e+01,6.642670266748169531e+13
4.625001929517132737e+01,4.490383164002244531e+13
4.675001950376777415e+01,3.421981652567234375e+13
4.725001971236422094e+01,2.756166217904834375e+13
4.775001992096066772e+01,2.539389099642657812e+13
4.825002012955711450e+01,1.765185105849164062e+13
4.875002033815356128e+01,1.811637345476773828e+13
4.925002054675000807e+01,1.873573664980253125e+13
4.975002075534645485e+01,2.059382623490691797e+13
