Eion,Wion
4.999996975974968505e-02,5.584092917276129280e+18
1.499999092792490551e-01,1.738972335845021760e+17
2.499998487987483975e-01,1.459987641559290240e+17
3.499997883182477953e-01,1.222043542928477920e+17
4.499997278377471099e-01,9.717121677375251200e+16
5.499996673572464800e-01,8.435503076238126400e+16
6.499996068767459612e-01,7.555541917574454400e+16
7.499995463962453313e-01,6.006203301776255200e+16
8.499994859157447014e-01,5.701089195996838400e+16
9.499994254352439604e-01,5.301599526920420000e+16
1.049999364954743220e+00,4.452451718701151200e+16
1.149999304474242701e+00,4.130769630521790400e+16
1.249999243993742182e+00,4.055052402545978400e+16
1.349999183513241441e+00,3.457366308503343600e+16
1.449999123032740700e+00,3.207685265331407600e+16
1.549999062552239959e+00,3.143968211523475600e+16
1.649999002071739440e+00,2.998495132416484400e+16
1.749998941591238921e+00,2.839937992442402000e+16
1.849998881110738180e+00,2.596760269464870400e+16
1.949998820630237661e+00,2.469403582327647600e+16
2.049998760149736921e+00,2.299233370578336400e+16
2.149998699669236846e+00,2.337169405044743600e+16
2.249998639188735883e+00,2.394460559136868000e+16
2.349998578708235364e+00,2.486823189990858400e+16
2.449998518227734845e+00,2.722181444640161600e+16
2.549998457747233882e+00,2.496733011239536400e+16
2.649998397266733363e+00,2.028029434382779600e+16
2.749998336786232400e+00,1.627068776216404200e+16
2.849998276305732325e+00,1.300122095498775400e+16
2.949998215825231362e+00,1.161384598021620000e+16
3.049998155344730844e+00,1.085435108610295200e+16
3.149998094864230325e+00,8.327346667769195000e+15
3.249998034383729362e+00,6.230800109911444000e+15
3.349997973903228843e+00,6.082152791185928000e+15
3.449997913422728324e+00,6.069765514625466000e+15
3.549997852942227805e+00,5.725244385287682000e+15
3.649997792461726842e+00,4.218641873621805000e+15
3.749997731981226767e+00,3.617084755654497500e+15
3.849997671500725804e+00,3.330628985193874500e+15
3.949997611020224841e+00,3.470760051284070500e+15
4.049997550539724323e+00,2.496810431717874000e+15
4.149997490059224248e+00,2.221967733032611750e+15
4.249997429578723285e+00,8.129150242802753750e+14
4.349997369098222322e+00,4.769101475777607500e+14
4.449997308617722247e+00,4.389741131113476875e+14
4.549997248137221284e+00,3.785861398790985000e+14
4.649997187656720321e+00,3.452953341228586250e+14
4.749997127176220246e+00,2.345840498637350625e+14
4.849997066695720171e+00,0.000000000000000000e+00
4.949997006215218320e+00,0.000000000000000000e+00
5.049996945734718246e+00,0.000000000000000000e+00
5.149996885254217283e+00,0.000000000000000000e+00
5.249996824773716320e+00,0.000000000000000000e+00
5.349996764293216245e+00,0.000000000000000000e+00
5.449996703812715282e+00,0.000000000000000000e+00
5.549996643332215207e+00,0.000000000000000000e+00
5.649996582851714244e+00,0.000000000000000000e+00
5.749996522371213281e+00,0.000000000000000000e+00
5.849996461890713206e+00,0.000000000000000000e+00
5.949996401410212243e+00,0.000000000000000000e+00
6.049996340929711280e+00,0.000000000000000000e+00
6.149996280449211206e+00,0.000000000000000000e+00
6.249996219968711131e+00,0.000000000000000000e+00
6.349996159488209280e+00,0.000000000000000000e+00
6.449996099007709205e+00,0.000000000000000000e+00
6.549996038527209130e+00,0.000000000000000000e+00
6.649995978046707279e+00,0.000000000000000000e+00
6.749995917566207204e+00,0.000000000000000000e+00
6.849995857085707129e+00,0.000000000000000000e+00
6.949995796605206166e+00,0.000000000000000000e+00
7.049995736124705203e+00,0.000000000000000000e+00
7.149995675644205129e+00,0.000000000000000000e+00
7.249995615163704166e+00,0.000000000000000000e+00
7.349995554683203203e+00,0.000000000000000000e+00
7.449995494202703128e+00,0.000000000000000000e+00
7.549995433722202165e+00,0.000000000000000000e+00
7.649995373241702090e+00,0.000000000000000000e+00
7.749995312761201127e+00,0.000000000000000000e+00
7.849995252280700164e+00,0.000000000000000000e+00
7.949995191800200089e+00,0.000000000000000000e+00
8.049995131319699126e+00,0.000000000000000000e+00
8.149995070839198164e+00,0.000000000000000000e+00
8.249995010358697201e+00,0.000000000000000000e+00
8.349994949878198014e+00,0.000000000000000000e+00
8.449994889397697051e+00,0.000000000000000000e+00
8.549994828917194312e+00,0.000000000000000000e+00
8.649994768436695125e+00,0.000000000000000000e+00
8.749994707956194162e+00,0.000000000000000000e+00
8.849994647475694975e+00,0.000000000000000000e+00
8.949994586995194013e+00,0.000000000000000000e+00
9.049994526514693050e+00,0.000000000000000000e+00
9.149994466034192087e+00,0.000000000000000000e+00
9.249994405553691124e+00,0.000000000000000000e+00
9.349994345073190161e+00,0.000000000000000000e+00
9.449994284592690974e+00,0.000000000000000000e+00
9.549994224112190011e+00,0.000000000000000000e+00
9.649994163631689048e+00,0.000000000000000000e+00
9.749994103151188085e+00,0.000000000000000000e+00
9.849994042670687122e+00,0.000000000000000000e+00
9.949993982190186159e+00,0.000000000000000000e+00
