# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Ukin_new
# 14 Uelm_bnd
# 15 Uelm_out_mvw
# 16 Uelm_inj_mvw
# 17 Dens_ion
# 18 Ntot_ion
# 19 Zavg_ion
# 20 Ukin_ion
# 21 Urad_ion
# 22 Dens_ele
# 23 Ntot_ele
# 24 Zavg_ele
# 25 Ukin_ele
# 26 Urad_ele
# 27 Uelm_Ex
# 28 Uelm_Ey
# 29 Uelm_Ez
# 30 Uelm_Bx_m
# 31 Uelm_By_m
# 32 Uelm_Bz_m
# 33 ExMin
# 34 ExMinCell
# 35 ExMax
# 36 ExMaxCell
# 37 EyMin
# 38 EyMinCell
# 39 EyMax
# 40 EyMaxCell
# 41 EzMin
# 42 EzMinCell
# 43 EzMax
# 44 EzMaxCell
# 45 Bx_mMin
# 46 Bx_mMinCell
# 47 Bx_mMax
# 48 Bx_mMaxCell
# 49 By_mMin
# 50 By_mMinCell
# 51 By_mMax
# 52 By_mMaxCell
# 53 Bz_mMin
# 54 Bz_mMinCell
# 55 Bz_mMax
# 56 Bz_mMaxCell
# 57 JxMin
# 58 JxMinCell
# 59 JxMax
# 60 JxMaxCell
# 61 JyMin
# 62 JyMinCell
# 63 JyMax
# 64 JyMaxCell
# 65 JzMin
# 66 JzMinCell
# 67 JzMax
# 68 JzMaxCell
# 69 RhoMin
# 70 RhoMinCell
# 71 RhoMax
# 72 RhoMaxCell
# 73 PoyXmin
# 74 PoyXminInst
# 75 PoyYmin
# 76 PoyYminInst
# 77 PoyXmax
# 78 PoyXmaxInst
# 79 PoyYmax
# 80 PoyYmaxInst
#
#               time           Ubal_norm                Ubal                Utot                Uexp                Ukin                Urad           UmBWpairs                Uelm            Ukin_bnd        Ukin_out_mvw        Ukin_inj_mvw            Ukin_new            Uelm_bnd        Uelm_out_mvw        Uelm_inj_mvw            Dens_ion            Ntot_ion            Zavg_ion            Ukin_ion            Urad_ion            Dens_ele            Ntot_ele            Zavg_ele            Ukin_ele            Urad_ele             Uelm_Ex             Uelm_Ey             Uelm_Ez           Uelm_Bx_m           Uelm_By_m           Uelm_Bz_m               ExMin           ExMinCell               ExMax           ExMaxCell               EyMin           EyMinCell               EyMax           EyMaxCell               EzMin           EzMinCell               EzMax           EzMaxCell             Bx_mMin         Bx_mMinCell             Bx_mMax         Bx_mMaxCell             By_mMin         By_mMinCell             By_mMax         By_mMaxCell             Bz_mMin         Bz_mMinCell             Bz_mMax         Bz_mMaxCell               JxMin           JxMinCell               JxMax           JxMaxCell               JyMin           JyMinCell               JyMax           JyMaxCell               JzMin           JzMinCell               JzMax           JzMaxCell              RhoMin          RhoMinCell              RhoMax          RhoMaxCell             PoyXmin         PoyXminInst             PoyYmin         PoyYminInst             PoyXmax         PoyXmaxInst             PoyYmax         PoyYmaxInst
    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.4486966140e-02    1.4486966140e-02    1.4486966140e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.4674011003e+04    4.0000000000e+06    1.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.4674011003e+04    6.0000000000e+06   -1.0000000000e+00    1.4486966140e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -5.3302543789e-05              219338    4.7081080373e-05              161263   -4.6614249666e-05              186114    4.9801106130e-05              197198   -4.3983471892e-05              272027    4.1389128841e-05              174026   -5.5983937535e-02              307352    5.8131204147e-02              262186    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    1.0885063198e+00    1.0197147312e-03    1.4787651970e-05    1.4501753792e-02    1.4486966140e-02    1.4468759596e-02    0.0000000000e+00    0.0000000000e+00    3.2994195298e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.4674011003e+04    4.0000000000e+06    1.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.4674011003e+04    6.0000000000e+06   -1.0000000000e+00    1.4468759596e-02    0.0000000000e+00    9.4673659113e-06    9.5526727169e-06    3.7964669071e-06    2.4330714168e-06    2.4150061354e-06    5.3296122107e-06   -4.2369762454e-05              417143    4.2493072748e-05              462097   -3.9369300722e-05              318314    3.8281585997e-05              218170   -2.5600876725e-05              472974    2.5338127392e-05              320816   -1.9804639525e-05              216324    2.0916654936e-05              387026   -1.9807552315e-05              408839    2.0976589090e-05              179446   -3.0277836136e-05              354408    3.0433493014e-05              455561   -4.7401991804e-05              378663    4.6482928204e-05              159055   -4.7543404867e-05              213329    4.4506527676e-05              244552   -4.3091060589e-05              272027    4.0750343853e-05              174026   -5.5993549689e-02              307352    5.8104325412e-02              262186    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    2.1770126397e+00    7.3835388919e-01    5.9902485867e-01    8.1129776310e-01    2.1227290443e-01    1.4426514929e-02    0.0000000000e+00    0.0000000000e+00    7.9687124817e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.9778593829e-01    0.0000000000e+00    0.0000000000e+00    2.4674011003e+04    4.0000000000e+06    1.0000000000e+00    4.2236014118e-11    0.0000000000e+00    2.4674011003e+04    6.0000000000e+06   -1.0000000000e+00    1.4426514887e-02    0.0000000000e+00    1.6748071332e-04    9.4209648004e-02    4.4364216175e-06    4.1276098077e-06    4.0922307068e-06    7.0248146319e-01   -3.5301083739e-03                 241    3.5301083739e-03                 159   -8.3041115656e-03                 261    6.9180906185e-02                 178   -2.9223921380e-05              462567    2.6846661370e-05              466601   -2.8209537669e-05              356613    2.8108756739e-05              421580   -2.6545619086e-05              355752    2.7837421565e-05              464535   -2.2390081378e-02                 259    1.8768457762e-01                 184   -4.5196158050e-05              378663    4.4226427915e-05              159055   -4.4613772103e-05              213329    4.1726901721e-05              244552   -4.0823097566e-05              272027    3.9385968354e-05              174026   -5.6002955611e-02              307352    5.8078887685e-02              262186    1.9778593829e-01    1.9778593829e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    3.2655189595e+00    3.4259676741e-01    2.3825352844e+00    6.9543425715e+00    4.5718072871e+00    1.4377384957e-02    0.0000000000e+00    0.0000000000e+00    6.9399651866e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    4.5573203209e+00    0.0000000000e+00    0.0000000000e+00    2.4674011003e+04    4.0000000000e+06    1.0000000000e+00    4.2970806082e-09    0.0000000000e+00    2.4674011003e+04    6.0000000000e+06   -1.0000000000e+00    1.4377380660e-02    0.0000000000e+00    7.7711086655e-03    3.0540837637e+00    4.3832077688e-06    4.6716403891e-06    4.6354676168e-06    3.8780966239e+00   -2.3657468753e-02                 235    2.3657468753e-02                 165   -5.1640628310e-02                 147    4.2501633643e-01                 200   -2.8511530580e-05              462968    2.7326814604e-05              435306   -2.7230141540e-05              409167    2.9767894532e-05               82959   -2.7464668704e-05              170219    2.6333353027e-05              344748   -8.3340938395e-02                 153    4.7144779481e-01                 201   -4.1931676761e-05              378663    4.0528098518e-05              159055   -4.0829183966e-05              151293    3.7885592923e-05              244552   -3.9868189307e-05              347947    3.8718221115e-05              174026   -5.6011966505e-02              307352    5.8056330171e-02              262186    4.5573203209e+00    3.0018315096e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    4.3540252794e+00    1.8141291627e-01    1.8842365688e+00    1.0386452120e+01    8.5022155510e+00    1.4325241618e-02    0.0000000000e+00    0.0000000000e+00    1.0372126878e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.4877285849e+00    0.0000000000e+00    0.0000000000e+00    2.4674011003e+04    4.0000000000e+06    1.0000000000e+00    1.8075165557e-08    0.0000000000e+00    2.4674011003e+04    6.0000000000e+06   -1.0000000000e+00    1.4325223543e-02    0.0000000000e+00    4.0811188530e-02    4.9043312016e+00    4.0897485056e-06    4.5677141245e-06    4.5720208832e-06    5.4269712586e+00   -4.3738866073e-02                 226    4.3738866073e-02                 174   -2.1326880194e-01                 163    4.7620861074e-01                 601   -2.6079239041e-05              332466    2.5315654729e-05              440471   -2.7593265754e-05              467800    3.0197674193e-05              462164   -2.9798151968e-05              440789    2.8926614729e-05              429836   -3.1030229018e-01                 170    4.3356736997e-01                 601   -3.9195678246e-05              175088    3.6064628975e-05              460358   -3.6869955203e-05              151293    3.3888149806e-05              451456   -3.9457713516e-05              347947    3.8205266181e-05              174026   -5.6020434175e-02              307352    5.8037816199e-02              262186    8.4877285849e+00    1.1680062056e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    5.4425315992e+00    3.5778380130e-01    1.2236784643e+01    3.4201617285e+01    2.1964832642e+01    1.4280069898e-02    0.0000000000e+00    0.0000000000e+00    3.4187337215e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.1950345676e+01    0.0000000000e+00    0.0000000000e+00    2.4674011003e+04    4.0000000000e+06    1.0000000000e+00    4.3347809160e-08    0.0000000000e+00    2.4674011003e+04    6.0000000000e+06   -1.0000000000e+00    1.4280026551e-02    0.0000000000e+00    7.1604231667e-02    1.3469496480e+01    3.7106113826e-06    4.3938877241e-06    4.4445604251e-06    2.0646223954e+01   -4.5623199993e-02                 624    4.5623199993e-02                 576   -6.5438691030e-01                 214    4.7306034758e-01                1001   -2.4798565470e-05               92694    2.5000962260e-05              352962   -3.0099470464e-05              235753    2.7383917471e-05              168320   -2.7051117248e-05              441189    2.6874768688e-05              266966   -9.5300254895e-01                 201    4.1695909257e-01                1400   -3.5938076026e-05              175088    3.6199056185e-05              460358   -3.3506990592e-05              265466    3.3377113862e-05              199018   -3.9694481310e-05              245222    3.8091049309e-05              119870   -5.6028249141e-02              307352    5.8024190287e-02              262186    2.1950345676e+01    1.0582609483e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    6.5310379191e+00    1.6285891120e-01    1.2289706109e+01    7.5462288301e+01    6.3172582192e+01    1.4249411822e-02    0.0000000000e+00    0.0000000000e+00    7.5448038889e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.3158095226e+01    0.0000000000e+00    0.0000000000e+00    2.4674011003e+04    4.0000000000e+06    1.0000000000e+00    8.1385904502e-08    0.0000000000e+00    2.4674011003e+04    6.0000000000e+06   -1.0000000000e+00    1.4249330436e-02    0.0000000000e+00    1.0400977268e-01    3.6918515541e+01    3.4616137181e-06    4.0424512314e-06    4.1012804614e-06    3.8425501970e+01   -4.6784785317e-02                 163    4.6784785317e-02                 237   -1.2614877458e+00                 201    4.0319692389e-01                1401   -2.2500828562e-05              403970    2.4292439106e-05              285379   -2.7303344959e-05              463377    2.7148368548e-05              113302   -2.8138586870e-05              425497    2.5769923933e-05              398269   -1.1207028402e+00                 601    4.3073790607e-01                1801   -3.5494951760e-05              319283    3.6377376920e-05              460358   -3.1219542540e-05              265466    3.3115043342e-05              199018   -4.0363749494e-05              245222    3.8390925015e-05              119870   -5.6035274297e-02              307352    5.8016031764e-02              262186    6.3158095226e+01    2.1354342157e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    7.6195442389e+00    1.0699812626e-01    9.4101929145e+00    8.7947268272e+01    7.8537075357e+01    1.4236152594e-02    0.0000000000e+00    0.0000000000e+00    8.7933032119e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    7.8522588391e+01    0.0000000000e+00    0.0000000000e+00    2.4674011003e+04    4.0000000000e+06    1.0000000000e+00    1.3087095056e-07    0.0000000000e+00    2.4674011003e+04    6.0000000000e+06   -1.0000000000e+00    1.4236021723e-02    0.0000000000e+00    2.0412478079e-01    4.2869190819e+01    3.4000278711e-06    3.8244858796e-06    3.8323097328e-06    4.4859705463e+01   -7.5216725117e-02                 176    7.5216725117e-02                 224   -1.1945170876e+00                 601    4.3399492206e-01                2201   -2.5189099334e-05              353981    2.6692114241e-05              335184   -2.5266630816e-05              345927    3.0726547589e-05              462164   -2.6049642067e-05              103997    2.5738492112e-05              291495   -1.1989192301e+00                1000    6.2060326971e-01                 173   -3.5933216957e-05              461257    3.8191115920e-05              154884   -3.1841913563e-05              344618    3.3586839122e-05              372988   -4.0447522557e-05              245222    3.8988043509e-05              119870   -5.6041389429e-02              307352    5.8013526726e-02              262186    7.8522588391e+01    3.4957220681e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    8.7080505588e+00    2.3892189048e-01    4.1085698852e+01    1.7196289034e+02    1.3087719149e+02    1.4238503570e-02    0.0000000000e+00    0.0000000000e+00    1.7194865184e+02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.3086270452e+02    0.0000000000e+00    0.0000000000e+00    2.4674011003e+04    4.0000000000e+06    1.0000000000e+00    1.8784302047e-07    0.0000000000e+00    2.4674011003e+04    6.0000000000e+06   -1.0000000000e+00    1.4238315727e-02    0.0000000000e+00    2.6673391077e-01    7.6612281052e+01    3.4933588319e-06    3.5746408803e-06    3.5446644207e-06    9.5069626263e+01   -7.6702303594e-02                 578    7.6702303594e-02                 622   -1.2182667255e+00                1401    1.3651766210e+00                 200   -2.7226083706e-05              409175    2.4126725045e-05              104586   -2.5850982717e-05              246130    2.3703806320e-05              264106   -2.5529707774e-05              360424    2.3797601968e-05              464535   -1.1699213481e+00                1401    1.7848886529e+00                 201   -3.8747201616e-05              318815    4.2646729263e-05              154884   -3.3189797590e-05              300821    3.4244156407e-05              177506   -4.0445118626e-05              347947    3.8965328441e-05              119870   -5.6046394592e-02              307352    5.8016559349e-02              262186    1.3086270452e+02    3.9329611656e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    9.7965568786e+00    1.0543511245e-01    2.8429843399e+01    2.6964303199e+02    2.4121318859e+02    1.4251140036e-02    0.0000000000e+00    0.0000000000e+00    2.6962878085e+02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.4119870162e+02    0.0000000000e+00    0.0000000000e+00    2.4674011003e+04    4.0000000000e+06    1.0000000000e+00    2.4662869135e-07    0.0000000000e+00    2.4674011003e+04    6.0000000000e+06   -1.0000000000e+00    1.4250893408e-02    0.0000000000e+00    3.5817695453e-01    1.3610914794e+02    3.6746043527e-06    3.4497195862e-06    3.4098879854e-06    1.3316144542e+02   -8.0206644766e-02                 234    8.0206644766e-02                 166   -1.2317890284e+00                1801    2.0207748838e+00                 200   -2.9698624323e-05               99347    2.4808116239e-05              336146   -2.4652500657e-05              283989    2.7069890380e-05              421180   -2.4462445437e-05              135350    2.3139962326e-05              374935   -1.1476188177e+00                2201    1.9627539301e+00                 601   -4.1359641683e-05              318815    4.6577243731e-05              154884   -3.6495174923e-05              382355    3.9808707613e-05              177506   -4.0675663084e-05              272027    3.8724318694e-05              174026   -5.6050100672e-02              307352    5.8024642821e-02              262186    2.4119870162e+02    5.1004951802e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
